,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
14,15,2021-11-17,,,Box Score,@,Minnesota Timberwolves,L,,97,107,6,9,H. Barnes · D. Fox · T. Haliburton · R. Holmes · C. Metu
15,16,2021-11-19,,,Box Score,,Toronto Raptors,L,,89,108,6,10,H. Barnes · D. Fox · T. Haliburton · R. Holmes · C. Metu
16,17,2021-11-20,,,Box Score,,Utah Jazz,L,,105,123,6,11,H. Barnes · D. Fox · T. Haliburton · R. Holmes · C. Metu
17,18,2021-11-22,,,Box Score,,Philadelphia 76ers,L,,94,102,6,12,H. Barnes · D. Fox · T. Haliburton · M. Harkless · R. Holmes
18,19,2021-11-24,,,Box Score,,Portland Trail Blazers,W,,125,121,7,12,H. Barnes · D. Fox · T. Haliburton · M. Harkless · A. Len
19,20,2021-11-26,,,Box Score,@,Los Angeles Lakers,W,3OT,141,137,8,12,D. Fox · T. Haliburton · M. Harkless · A. Len · C. Metu
20,21,2021-11-28,,,Box Score,@,Memphis Grizzlies,L,,101,128,8,13,T. Davis · D. Fox · T. Haliburton · A. Len · C. Metu
21,22,2021-11-30,,,Box Score,,Los Angeles Lakers,L,,92,117,8,14,T. Davis · D. Fox · T. Haliburton · R. Holmes · C. Metu
22,23,2021-12-01,,,Box Score,@,Los Angeles Clippers,W,,124,115,9,14,T. Davis · D. Fox · T. Haliburton · R. Holmes · C. Metu
23,24,2021-12-04,,,Box Score,,Los Angeles Clippers,W,,104,99,10,14,T. Davis · D. Fox · T. Haliburton · R. Holmes · C. Metu
24,25,2021-12-08,,,Box Score,,Orlando Magic,W,,142,130,11,14,H. Barnes · T. Davis · D. Fox · T. Haliburton · R. Holmes
25,26,2021-12-10,,,Box Score,@,Charlotte Hornets,L,,123,124,11,15,H. Barnes · T. Davis · D. Fox · T. Haliburton · A. Len
26,27,2021-12-11,,,Box Score,@,Cleveland Cavaliers,L,,103,117,11,16,M. Bagley · H. Barnes · D. Fox · T. Haliburton · A. Len
27,28,2021-12-13,,,Box Score,@,Toronto Raptors,L,,101,124,11,17,H. Barnes · D. Fox · T. Haliburton · A. Len · C. Metu
28,29,2021-12-15,,,Box Score,,Washington Wizards,W,,119,105,12,17,H. Barnes · D. Fox · T. Haliburton · A. Len · D. Mitchell
29,30,2021-12-17,,,Box Score,,Memphis Grizzlies,L,,105,124,12,18,H. Barnes · T. Haliburton · B. Hield · C. Metu · T. Thompson
30,31,2021-12-19,,,Box Score,,San Antonio Spurs,W,,121,114,13,18,H. Barnes · T. Haliburton · B. Hield · C. Metu · T. Thompson
31,32,2021-12-20,,,Box Score,@,Golden State Warriors,L,,98,113,13,19,H. Barnes · T. Haliburton · B. Hield · C. Metu · T. Thompson
32,33,2021-12-22,,,Box Score,,Los Angeles Clippers,L,,89,105,13,20,H. Barnes · T. Haliburton · B. Hield · R. Holmes · C. Metu
33,34,2021-12-26,,,Box Score,,Memphis Grizzlies,L,,102,127,13,21,H. Barnes · D. Fox · T. Haliburton · R. Holmes · C. Metu
34,35,2021-12-28,,,Box Score,,Oklahoma City Thunder,W,,117,111,14,21,M. Bagley · H. Barnes · D. Fox · T. Haliburton · R. Holmes
35,36,2021-12-29,,,Box Score,,Dallas Mavericks,W,,95,94,15,21,M. Bagley · H. Barnes · D. Fox · T. Haliburton · R. Holmes
36,37,2021-12-31,,,Box Score,,Dallas Mavericks,L,,96,112,15,22,M. Bagley · H. Barnes · D. Fox · T. Haliburton · R. Holmes
37,38,2022-01-02,,,Box Score,,Miami Heat,W,,115,113,16,22,M. Bagley · H. Barnes · D. Fox · T. Haliburton · D. Jones
38,39,2022-01-04,,,Box Score,@,Los Angeles Lakers,L,,114,122,16,23,M. Bagley · H. Barnes · D. Fox · T. Haliburton · D. Jones
39,40,2022-01-05,,,Box Score,,Atlanta Hawks,L,,102,108,16,24,M. Bagley · H. Barnes · D. Fox · T. Haliburton · D. Jones
40,41,2022-01-07,,,Box Score,@,Denver Nuggets,L,,111,121,16,25,M. Bagley · H. Barnes · D. Fox · T. Haliburton · D. Jones
41,42,2022-01-09,,,Box Score,@,Portland Trail Blazers,L,,88,103,16,26,M. Bagley · H. Barnes · D. Fox · T. Haliburton · A. Len
42,43,2022-01-10,,,Box Score,,Cleveland Cavaliers,L,,108,109,16,27,M. Bagley · H. Barnes · D. Fox · T. Haliburton · A. Len
43,44,2022-01-12,,,Box Score,,Los Angeles Lakers,W,,125,116,17,27,M. Bagley · H. Barnes · D. Fox · T. Haliburton · C. Metu
44,45,2022-01-14,,,Box Score,,Houston Rockets,W,,126,114,18,27,M. Bagley · H. Barnes · D. Fox · T. Haliburton · C. Metu
