,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
63,64,2022-03-06,,,Box Score,@,Milwaukee Bucks,L,,122,132,51,13,D. Ayton · M. Bridges · J. Crowder · C. Payne · L. Shamet
64,65,2022-03-08,,,Box Score,@,Orlando Magic,W,,102,99,52,13,D. Ayton · M. Bridges · J. Crowder · C. Payne · L. Shamet
65,66,2022-03-09,,,Box Score,@,Miami Heat,W,,111,90,53,13,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Payne
66,67,2022-03-11,,,Box Score,,Toronto Raptors,L,,112,117,53,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Payne
67,68,2022-03-13,,,Box Score,,Los Angeles Lakers,W,,140,111,54,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Payne
68,69,2022-03-15,,,Box Score,@,New Orleans Pelicans,W,,131,115,55,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Payne
69,70,2022-03-16,,,Box Score,@,Houston Rockets,W,,129,112,56,14,D. Ayton · D. Booker · M. Bridges · T. Craig · C. Payne
70,71,2022-03-18,,,Box Score,,Chicago Bulls,W,,129,102,57,14,D. Ayton · D. Booker · M. Bridges · T. Craig · C. Payne
71,72,2022-03-20,,,Box Score,@,Sacramento Kings,W,OT,127,124,58,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · E. Payton
72,73,2022-03-23,,,Box Score,@,Minnesota Timberwolves,W,,125,116,59,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Payne
73,74,2022-03-24,,,Box Score,@,Denver Nuggets,W,,140,130,60,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
74,75,2022-03-27,,,Box Score,,Philadelphia 76ers,W,,114,104,61,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
75,76,2022-03-30,,,Box Score,@,Golden State Warriors,W,,107,103,62,14,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
76,77,2022-04-01,,,Box Score,@,Memphis Grizzlies,L,,114,122,62,15,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
77,78,2022-04-03,,,Box Score,@,Oklahoma City Thunder,L,,96,117,62,16,M. Bridges · C. Johnson · J. McGee · C. Paul · L. Shamet
78,79,2022-04-05,,,Box Score,,Los Angeles Lakers,W,,121,110,63,16,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
79,80,2022-04-06,,,Box Score,@,Los Angeles Clippers,L,,109,113,63,17,M. Bridges · C. Johnson · J. McGee · C. Payne · L. Shamet
80,81,2022-04-08,,,Box Score,@,Utah Jazz,W,,111,105,64,17,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
81,82,2022-04-10,,,Box Score,,Sacramento Kings,L,,109,116,64,18,M. Bridges · A. Holiday · C. Johnson · J. McGee · L. Shamet
