,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
24,25,2021-12-08,,,Box Score,@,Indiana Pacers,L,,102,122,12,13,R. Barrett · A. Burks · E. Fournier · T. Gibson · J. Randle
25,26,2021-12-10,,,Box Score,@,Toronto Raptors,L,,87,90,12,14,R. Barrett · A. Burks · E. Fournier · N. Noel · J. Randle
26,27,2021-12-12,,,Box Score,,Milwaukee Bucks,L,,97,112,12,15,E. Fournier · Q. Grimes · N. Noel · J. Randle · D. Rose
27,28,2021-12-14,,,Box Score,,Golden State Warriors,L,,96,105,12,16,A. Burks · E. Fournier · N. Noel · J. Randle · D. Rose
28,29,2021-12-16,,,Box Score,@,Houston Rockets,W,,116,103,13,16,A. Burks · E. Fournier · N. Noel · J. Randle · D. Rose
29,30,2021-12-18,,,Box Score,@,Boston Celtics,L,,107,114,13,17,A. Burks · E. Fournier · N. Noel · J. Randle · K. Walker
30,31,2021-12-21,,,Box Score,,Detroit Pistons,W,,105,91,14,17,A. Burks · E. Fournier · N. Noel · J. Randle · K. Walker
31,32,2021-12-23,,,Box Score,,Washington Wizards,L,,117,124,14,18,A. Burks · E. Fournier · J. Randle · M. Robinson · K. Walker
32,33,2021-12-25,,,Box Score,,Atlanta Hawks,W,,101,87,15,18,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
33,34,2021-12-28,,,Box Score,@,Minnesota Timberwolves,W,,96,88,16,18,R. Barrett · E. Fournier · J. Randle · M. Robinson · K. Walker
34,35,2021-12-29,,,Box Score,@,Detroit Pistons,W,,94,85,17,18,R. Barrett · Q. Grimes · J. Randle · M. Robinson · K. Walker
35,36,2021-12-31,,,Box Score,@,Oklahoma City Thunder,L,,80,95,17,19,R. Barrett · E. Fournier · M. McBride · M. Robinson · O. Toppin
36,37,2022-01-02,,,Box Score,@,Toronto Raptors,L,,105,120,17,20,R. Barrett · E. Fournier · T. Gibson · M. McBride · O. Toppin
37,38,2022-01-04,,,Box Score,,Indiana Pacers,W,,104,94,18,20,R. Barrett · A. Burks · E. Fournier · T. Gibson · J. Randle
