,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
64,65,2022-03-04,,,Box Score,@,Detroit Pistons,L,,106,111,22,43,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
65,66,2022-03-06,,,Box Score,@,Washington Wizards,L,,123,133,22,44,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
66,67,2022-03-08,,,Box Score,,Cleveland Cavaliers,L,,124,127,22,45,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
67,68,2022-03-12,,,Box Score,@,San Antonio Spurs,W,,119,108,23,45,O. Brissett · C. Duarte · T. Haliburton · B. Hield · I. Jackson
68,69,2022-03-13,,,Box Score,@,Atlanta Hawks,L,,128,131,23,46,O. Brissett · T. Haliburton · B. Hield · I. Jackson · T. Taylor
69,70,2022-03-15,,,Box Score,,Memphis Grizzlies,L,,102,135,23,47,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
70,71,2022-03-18,,,Box Score,@,Houston Rockets,W,,121,118,24,47,G. Bitadze · O. Brissett · M. Brogdon · T. Haliburton · B. Hield
71,72,2022-03-20,,,Box Score,,Portland Trail Blazers,W,,129,98,25,47,J. Anderson · G. Bitadze · O. Brissett · T. Haliburton · B. Hield
72,73,2022-03-23,,,Box Score,,Sacramento Kings,L,,109,110,25,48,J. Anderson · G. Bitadze · O. Brissett · T. Haliburton · B. Hield
73,74,2022-03-24,,,Box Score,@,Memphis Grizzlies,L,,103,133,25,49,J. Anderson · G. Bitadze · O. Brissett · T. Haliburton · B. Hield
74,75,2022-03-26,,,Box Score,@,Toronto Raptors,L,,91,131,25,50,J. Anderson · O. Brissett · T. Haliburton · B. Hield · J. Smith
75,76,2022-03-28,,,Box Score,,Atlanta Hawks,L,,123,132,25,51,J. Anderson · G. Bitadze · T. Haliburton · B. Hield · K. Sykes
76,77,2022-03-30,,,Box Score,,Denver Nuggets,L,,118,125,25,52,J. Anderson · G. Bitadze · T. Haliburton · B. Hield · T. Taylor
77,78,2022-04-01,,,Box Score,@,Boston Celtics,L,,123,128,25,53,G. Bitadze · O. Brissett · T. Haliburton · B. Hield · T. Taylor
78,79,2022-04-03,,,Box Score,,Detroit Pistons,L,,117,121,25,54,G. Bitadze · O. Brissett · T. Haliburton · B. Hield · T. Taylor
79,80,2022-04-05,,,Box Score,,Philadelphia 76ers,L,,122,131,25,55,O. Brissett · T. Haliburton · B. Hield · I. Jackson · T. Taylor
80,81,2022-04-09,,,Box Score,@,Philadelphia 76ers,L,,120,133,25,56,O. Brissett · T. Haliburton · B. Hield · I. Jackson · T. McConnell
81,82,2022-04-10,,,Box Score,@,Brooklyn Nets,L,,126,134,25,57,O. Brissett · T. Haliburton · B. Hield · I. Jackson · T. McConnell
